,news_text
0,"            วันที่ 1 ตุลาคม 2564 เวลา 09.00 น. นายศักดิ์จิต มาศจิตต์ ศึกษาธิการจังหวัดปัตตานี เป็นประธานการประชุมชี้แจงแนวทางการบริการฉีดวัคซีน Pfizer ให้กับนักเรียน นักศึกษา อายุ 12 ปีขึ้นไป ที่ศึกษาอยู่ในระดับชั้นมัธยมศึกษาหรือเทียบเท่า จำนวน 27,960 คน (รอบแรก) โดยมีบุคลากรจากกลุ่มพัฒนาการศึกษา สำนักงานศึกษาธิการจังหวัดปัตตานี  และสำนักงานสาธารณสุขจังหวัดปัตตานีตลอดจนผู้แทนหน่วยงานทางการศึกษาทุกสังกัดในจังหวัดปัตตานีเข้าร่วมวางแผนการดำเนินงานฯ ดังกล่าว ณ ห้องประชุมสำนักงานศึกษาธิการจังหวัดปัตตานี"
1,            วันนี้ (1 ต.ค. 64) ที่ห้องพระยารัษฎา ชั้น 5 ศาลากลางจังหวัดตรัง นายขจรศักดิ์ เจริญโสภา ผู้ว่าราชการจังหวัดตรัง เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดตรัง ครั้งที่ 31/2564 โดยมี นายไพบูลย์ โอมาก นายภูวณัฐ สมใจ รองผู้ว่าราชการจังหวัดตรัง หัวหน้าส่วนราชการ หน่วยงานที่เกี่ยวข้อง เข้าร่วมประชุม และมีการ ประชุมผ่านระบบ Video Conference ไปยัง 10 อำเภอของจังหวัดตรังด้วย
2,            นพ.เฉวตสรร นามวาท ผู้อำนวยการกองควบคุมโรคและภัยสุขภาพในภาวะฉุกเฉิน กรมควบคุมโรค กระทรวงสาธารณสุข (สธ.) เปิดเผยกรณีที่มีเด็กชายอายุ 12 ปี เสียชีวิตหลังจากการฉีดวัคซีนไฟเซอร์ว่า ไม่ได้เป็นการเสียชีวิตจากการฉีดวัคซีน โดยหลังการตรวจชิ้นเนื้อไม่พบการอักเสบที่กล้ามเนื้อหัวใจ แต่พบระดับน้ำตาลในสารน้ำในลูกตาสูง จึงสันนิษฐานว่าเป็นการเสียชีวิตจากภาวะแทรกซ้อนจากโรคเบาหวานเรื้อรัง
3,    กระทรวงสาธารณสุขอิสราเอล รายงานข้อมูลล่าสุด ที่พบผู้มีอาการกล้ามเนื้อหัวใจอักเสบ หลังฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่ 3 จำนวน 9 คน จากผู้ที่เข้ารับการฉีดวัคซีนเข็มกระตุ้นหลายล้านคน โดยผู้ที่มีอาการดังกล่าวทั้งหมดเป็นเพศชาย ในจำนวนนี้ 3 คน อยู่ในช่วงอายุ 16 -29 ปี และอีก 6 คน อยู่ในช่วงอายุ 30 -59 ปี
4,นายธนกร วังบุญคงชนะ โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยว่า พลเอก  ประยุทธ์  จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม จะเดินทางไปร่วมพิธี Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม ณ โรงเรียนพิบูลอุปถัมภ์ พร้อมกับโรงเรียนใน 12 เขตสุขภาพทั่วไทย เพื่อให้กำลังใจน้องๆ นักเรียนที่จะได้รับการฉีดวัคซีนโควิด-19 ไฟเซอร์ เป็นเข็ม 1 พร้อมเยี่ยมชมจุดฉีดวัคซีนและชมนิทรรศการโรงเรียนปลอดภัยของกรมอนามัย กระทรวงสาธารณสุข ภายในบริเวณพื้นที่จัดงาน 
5,"          นายแพทย์ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง เปิดเผยว่า จังหวัดตรังได้ทำการตรวจหาเชื้อ SARs-COV-2 โดยดำเนินการไปแล้วทั้งสิ้น 70,697 ราย พบผลบวก (ติดเชื้อ) 5,887 ราย"
6,          จังหวัดเชียงใหม่ มีผู้ติดเชื้อโควิด-19 รายใหม่ เพิ่ม 88 ราย ส่วนใหญ่ยังคงเป็นการติดเชื้อภายในจังหวัด พร้อมขอให้ผู้ที่สัมผัสกับพนักงานขายหวีเอนกประสงค์ เข้ารับการตรวจหาเชื้อโควิด-19 ที่จุดตรวจเฉพาะกิจศูนย์ประชุมและแสดงสินค้านานาชาติฯ หรือโรงพยาบาลทุกแห่ง พร้อมกักตัว 14 วัน
7,    สำนักข่าวต่างประเทศ รายงานว่า ทางการรัฐแคลิฟอเนียร์ของสหรัฐฯ เตรียมบังคับใช้มาตรการที่กำหนดให้นักเรียนทุกคน ต้องเข้ารับการฉีดวัคซีนโควิด-19 เพื่อให้สามารถกลับเข้าชั้นเรียนได้อีกครั้ง 
8,ผู้ว่าราชการจังหวัดตรัง เผย การฉีดวัคซีนเด็ก อายุ 12-18 ปี แจ้งความประสงค์แล้วกว่าสี่หมื่นราย
9,        นายพินิจ แก้วจิตคงทอง รองผู้ว่าราชการจังหวัดพะเยา เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดพะเยา ครั้งที่ 40/2564 พร้อมด้วย นายแพทย์ศุภชัย บุญอำพันธ์ นายแพทย์สาธารณสุขจังหวัดพะเยา ณ ห้องประชุม 1 สำนักงานสาธารณสุขจังหวัดพะเยา เพื่อรับฟังและร่วมพิจารณาผลการประชุมเพื่อเตรียมความพร้อมและการกระจายวัคซีน Pfizer สำหรับเด็กนักเรียนอายุ 12 ปีขึ้นไปที่ศึกษาอยู่ในระดับมัธยมศึกษาหรือเทียบเท่าจังหวัดพะเยา โดย ดร.หัทกาญจน์ อดุลถิรเขตต์ รองศึกษาธิการจังหวัดพะเยา ได้รายงานที่ประชุมว่า ผู้บริหารหน่วยงานทางการศึกษาทุกสังกัด ได้จัดประชุมร่วมกัน เมื่อวันที่ 30 กันยายน 2564 เพื่อซักซ้อมและทำความเข้าใจร่วมกัน รวมทั้งกำหนดการกระจายวัคซีนที่เหมาะสมในโรงเรียนต่างๆ เพื่อให้เป็นไปตามแนวทางของกรมควบคุมโรค กระทรวงสาธารณสุข ทั้งนี้จะได้รับจัดสรรวัคซีนมาลอตแรกประมาณ 50% ของจำนวนนักเรียนที่แจ้งความประสงค์และได้รับการยินยอมให้ฉีดวัคซีนจากผู้ปกครองและหน่วยให้บริการฉีด เป็นโรงพยาบาลในสังกัดกระทรวงสาธารณสุขทุกแห่ง เริ่มดำเนินการในวันที่ 4-8 ตุลาคม 2564 โดยศึกษาธิการจังหวัดพะเยาได้มอบหมายและกำหนดครูผู้ประสานหลักแต่ละอำเภอเพื่อดำเนินการร่วมกับโรงพยาบาลทุกแห่ง  
10,"        นายแพทย์ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษก ศบค.จังหวัดตรัง เปิดเผยว่า จังหวัดตรัง ได้เตรียมความพร้อมการฉีดวัคซีนป้องกันโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ให้กับนักเรียนอายุ 12 -18 ปี ในพื้นที่จังหวัดตรัง โดยผลการสำรวจความต้องการฉีดวัคซีน (Pfizer) และการให้ความยินยอมโดยผู้ปกครอง พบว่า นักเรียนมีความประสงค์รับวัคซีนกว่า 43,000 คน"
11,          ดีเดย์ วันที่ 4 ตุลาคม 2564 นี้ ฉีดวัคซีนเด็กนักเรียน/เยาวชน 29 จังหวัดสีแดงเข้ม โดยนายกรัฐมนตรีจะร่วมพิธี Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม ณ โรงเรียนพิบูลอุปถัมภ์
12,พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม  เปิดงาน Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม เพื่อสร้างความเชื่อมั่นในการฉีดวัคซีนในเด็ก พร้อมชูมาตรการ Sandbox ลดความเสี่ยงของโควิด-19 ที่โรงเรียนพิบูลอุปถัมภ์ กรุงเทพมหานคร โดยมีนางสาวตรีนุช เทียนทอง รัฐมนตรีว่าการกระทรวงศึกษาธิการ คุณหญิงกัลยา โสภณพนิช รัฐมนตรีช่วยว่าการกระทรวงศึกษาธิการ นายสาธิต ปิตุเตชะ รัฐมนตรีช่วยว่าการกระทรวงสาธารณสุข เข้าร่วมงานและได้ถ่ายทอดสดผ่านระบบ zoom พร้อมกัน 15 จังหวัด
13,เร่งฉีดวัคซีน เข็ม 2 ให้ผู้สูงอายุยะลา ขณะคืบหน้าไฟเซอร์นักเรียน คาดเริ่มพรุ่งนี้วันแรก
