,news_text
0,
1,           กระทรวงสาธารณสุขอิสราเอล ออกแถลงการณ์ที่ระบุว่า คณะผู้เชี่ยวชาญของกระทรวงสาธารณสุข พบความเป็นไปได้ที่จะมีความเชื่อมโยงระหว่างการฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สอง กับอาการกล้ามเนื้อหัวใจอักเสบ หลังมีรายงานว่า ในช่วงเดือนธันวาคมปีที่แล้ว จนถึงพฤษภาคม ที่ผ่านมา พบประชาชน อย่างน้อย 121 คน มีอาการกล้ามเนื้อหัวใจอักเสบ เพียงไม่นานหลังจากได้รับวัคซีนของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สอง ซึ่งผู้ที่มีอาการดังกล่าวส่วนใหญ่ มีอายุระหว่าง 16 -19 ปี
2,"        ผศ.ดร.สุทิน เวียนวิวัฒน์ หัวหน้าโครงการอีสานโพล ศูนย์วิจัยธุรกิจและเศรษฐกิจอีสาน (ECBER) คณะเศรษฐศาสตร์ มหาวิทยาลัยขอนแก่น ( มข.) เปิดเผยว่า จากการสำรวจเรื่อง ""คนอีสานกับโควิดระลอก 3” ที่เป็นการสำรวจความคิดเห็นคนอีสานต่อเหตุการณ์การแพร่ระบาดของเชื้อไวรัสโควิด-19 ระลอก 3 ตั้งแต่ต้นเดือนเมษายน ที่ผ่านมา โดยได้ทำการสำรวจ จากกลุ่มตัวอย่างอายุ18 ปีขึ้นไป จำนวน 1,122 ราย ในเขตพื้นที่ภาคอีสาน 20 จังหวัดภาคอีสานพบว่ากลุ่มตัวอย่างเห็นว่าโควิดระลอก 3 เกิดจากการบริหารจัดการของรัฐบาลเป็นหลัก การที่ไม่คุมเข้มในช่วงสงกรานต์มีผลต่อการควบคุมการระบาด 2 ใน 3 พร้อมฉีดวัคซีนที่รัฐจัดหาให้ ส่วนกลุ่มที่ยังไม่กล้าฉีดต้องการฉีดไฟเซอร์ แอสตร้าเซนเนก้า และโมเดอร์นา ตามลำดับ ส่วนใหญ่รายได้ลดลงมากเมื่อเทียบกับช่วงต้นปี ต้องการให้รัฐฉีดวัคซีนให้มีภูมิคุ้มกันหมู่ให้เร็วที่สุด ขอเงินเยียวยาเพิ่ม และลดรายจ่ายของรัฐที่ไม่จำเป็น โดยรวมมีความพึงพอใจปานกลางถึงน้อยที่สุดในการการแก้ปัญหาโควิดและการจัดหาวัคซีนของรัฐ"
3,
4,  นายแอนโทนี บลิงเคน รัฐมนตรีต่างประเทศสหรัฐ กล่าวเมื่อวานนี้ว่า ประธานาธิบดี                 โจ ไบเดน ผู้นำสหรัฐ อาจจะประกาศรายละเอียดเกี่ยวกับแผนการกระจายวัคซีนโควิด-19 จำนวน                80 ล้านโดสไปทั่วโลกอย่างเร็วที่สุดในวันนี้ พร้อมย้ำว่า แผนการของสหรัฐจะเป็นการดำเนินการภายใต้ความร่วมมือผ่านโครงการโคแวกซ์ ขององค์การอนามัยโลกเพื่อการแบ่งปันวัคซีนตามความจำเป็นและความต้องการโดยไม่มีเรื่องการเมืองเข้ามาเกี่ยวข้อง
5, สิงคโปร์อนุมัติใช้วัคซีนโควิด-19 ของซิโนแวก หลังองค์การอนามัยโลกให้การรับรองใช้งานเป็นกรณีฉุกเฉินเมื่อวันอังคารที่ผ่านมา
6,ผู้ประกาศ : นับเป็นความเคลื่อนไหวในเชิงบวก เมื่อองค์การอนามัยโลกอนุมัติวัคซีนโควิด-19 “ซิโนแวค” ของจีน ใช้ในกรณีฉุกเฉินเมื่อ 2 วันก่อน นอกจากนี้ยังมีความเคลื่อนไหวของวัคซีนขนานอื่นด้วย รายละเอียดจะเป็นอย่างไร ติดตามจากรายงานพิเศษ
7, นายแพทย์โอภาส การย์กวินพงศ์ อธิบดีกรมควบคุมโรค กล่าวว่า กรมควบคุมโรค กระทรวงสาธารณสุขได้รับมอบวัคซีนจากบริษัท แอตตร้าซินิกร้า ที่ผลิตในประเทศไทย จำนวน 1.8 ล้านโดส ซึ่งเป็นวัคซีนที่มีการรับรองคุณภาพมาตรฐานระดับสากล นานาชาติ สำหรับการกระจายวัคซีน โดยเฉพาะอย่างยิ่งเป้าหมายจะมีการฉีดวัคซีนในวันที่7 มิ.ย นี้ ย้ำเป้าหมายที่จะฉีดวัคซีนตามที่นายกรัฐมนตรี คือคนในแผ่นดินทุกคน ไม่ว่าจะเป็นคนไทยหรือคนต่างชาติที่อยู่ในประเทศไทยที่สมัครใจ จะต้องได่รับการฉีดโดยไม่คิดมูลค่า ทุกคนในปี 2564 
8,"            สำนักข่าวต่างประเทศ รายงานโดยอ้างการเปิดเผยของนายโมเทกิ โทชิมิทสึ รัฐมนตรีต่างประเทศญี่ปุ่น ที่ระบุว่า รัฐบาลญี่ปุ่น เตรียมมอบวัคซีนโควิด-19 ของแอสตราเซเนกา จำนวน 1,240,000 โดส ให้กับไต้หวัน โดยไม่คิดค่าใช้จ่าย เพื่อช่วยไต้หวันรับมือกับสถานการณ์การแพร่ระบาดโรคโควิด-19 ที่ทวีความรุนแรงขึ้น "
9,"           กระทรวงสาธารณสุขอิสราเอล รายงานว่า ในเวลานี้ ยอดผู้ป่วยโรคโควิด-19 ที่กำลังรักษาตัว  122 คน ต่ำที่สุดนับตั้งแต่พบการแพร่ระบาดโรคโควิด-19 ในอิสราเอล เมื่อเดือนมีนาคมปีที่แล้ว และมีรายงานพบผู้ติดเชื้อรายใหม่ 10 คน ในรอบ 24 ชั่วโมงที่ผ่านมา ส่งผลให้มียอดผู้ติดเชื้อสะสม มากกว่า 839,000 คน และมียอดผู้เสียชีวิต 6,416 คน"
10,"อว. สรุปทั่วโลกได้ฉีดวัคซีนโควิด-19 กว่า 2,000 ล้านโดสแล้ว มากที่สุดและเร็วที่สุดในประวัติศาสตร์ โดย 500 ล้านโดสล่าสุดใช้เวลาเพียง 17 วัน จีนฉีดวัคซีนแล้วจำนวนมากที่สุด คิดเป็น 1 ใน 3 ของจำนวนการฉีดทั่วโลก"
11,
12,
