,news_text
0,           สำนักงานควบคุมกฎระเบียบยาและผลิตภัณฑ์ดูแลสุขภาพอังกฤษอนุมัติใช้ยาเม็ดแพกซ์โลวิด ของบริษัทไฟเซอร์ในการรักษาผู้ป่วยโควิด-19 แล้ว โดยอนุญาตให้ใช้ยานี้รักษาผู้ป่วยวัยผู้ใหญ่ที่มีอาการไม่รุนแรงหรือรุนแรงปานกลาง และมีความเสี่ยงสูงที่อาการจะหนักขึ้น ไฟเซอร์ระบุว่า ยาแพกซ์โลวิดสามารถลดความเสี่ยงการเข้ารักษาตัวในโรงพยาบาลหรือเสียชีวิตได้เกือบร้อยละ 90 รวมทั้งสามารถรักษาผู้ป่วยเชื้อกลายพันธุ์โอมิครอนได้ด้วย
1,           ผลการวิจัยจากมหาวิทยาลัยเยล กระทรวงสาธารณสุขสาธารณรัฐโดมินิกัน และสถาบันอื่น ๆ พบว่า การฉีดวัคซีนโควิด-19 ของซิโนแวก 2 เข็ม ตามด้วยวัคซีนของไฟเซอร์/ไบโอเอ็นเทคเป็นเข็มที่สามเพื่อกระตุ้นภูมินั้น ให้การตอบสนองทางภูมิคุ้มกันต่อสายพันธุ์โอมิครอนได้น้อยกว่าสายพันธุ์อื่น ๆ โดยการฉีดวัคซีนสูตรดังกล่าวให้การตอบสนองทางภูมิคุ้มกันในระดับที่คล้ายกับการฉีดวัคซีนแบบ mRNA 2 เข็ม ซึ่งไม่เพียงพอต่อการป้องกันเชื้อโอมิครอน ดังนั้นจึงแนะนำให้ผู้ที่เคยได้รับวัคซีนซิโนแวก 2 เข็ม ควรฉีดเข็มกระตุ้นเพิ่ม 2 เข็มเพื่อให้สามารถต้านทานเชื้อโอมิครอนได้
2,วันที่ (1 ม.ค.64) ที่ศาลาประชาคม ศาลากลางจังหวัดลำพูน นายวรยุทธ เนาวรัตน์ ผู้ว่าราชการจังหวัดลำพูน มอบหมายให้ นายอนุพงษ์ วาวงศ์มูล รองผู้ว่าราชการจังหวัดลำพูน พร้อมด้วย นายแพทย์สุกิจ สุขประเสริฐ ผู้ช่วยนายแพทย์สาธารณสุขจังหวัดลำพูน แถลงสถานการณ์ COVID-19 ในพื้นที่จังหวัดลำพูน 
3, นายแพทย์ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษก ศบค.จ.ตรัง กล่าวว่า ในวันนี้ (1 ม.ค. 65) มีรายงานผู้ติดเชื้อสายพันธุ์โอมิครอนเพิ่มเติมอีก 1 ราย เป็นรายที่ 2 ซึ่งเป็นเพศหญิง อายุ 33 ปี สัญชาติสวีเดน ไม่มีโรคประจำตัว มีประวัติได้รับวัคซีนไฟเซอร์ 2 โดส เดินทางมาเที่ยวประเทศไทยร่วมกับครอบครัวจำนวน 5 คน ผลการตรวจ ATK เป็นลบทั้ง 5 คน ผู้ติดเชื้อได้เข้าร่วมโครงการ TEST & GO เดินทางมาจากจังหวัดกระบี่ เมื่อวันที่ 24 ธันวาคม 2564 โดยรถยนต์ของโรงแรมมายังจังหวัดตรัง เข้าพักที่รีสอร์ทในเกาะกระดาน จังหวัดตรัง ระหว่างวันที่ 24-28 ธันวาคม 2564 ผลการตรวจ ATK วันที่ 5 ผลเป็นบวก วันที่ 29 ธันวาคม ได้เข้ารับการรักษาที่โรงพยาบาลวัฒนแพทย์ ตรัง และได้เก็บตัวอย่างตรวจสายพันธุ์ ผลการตรวจเมื่อเย็นวานนี้พบว่าเป็นสายพันธุ์โอมิครอน ซึ่งได้แจ้งสายการบินค้นหาผู้สัมผัสเสี่ยงสูงแล้ว
4,"หน่วยฉีดวัคซีน โรงพยาบาลสรรพสิทธิประสงค์อุบลราชานี ขอเชิญประชาชนเข้ารับบริการฉีดวัคซีนป้องกันโควิด-19 ประจำเดือน มกราคม 2565 ทุกวันพุธ - พฤหัสบดี และวันศุกร์ ได้แก่ วันที่ 5 – 7 , วันที่ 12-14 , วันที่ 19-21 , วันที่ 26-28 มกราคม 2565 ณ ศูนย์แสดงสินค้าโอทอปเซ็นเตอร์ องค์การบริหารส่วนจังหวัดอุบลราชธานี ใกล้กับหอนาฬิกา ด้วยการ Walk in เวลา 08.00 – 14.00 น. ด้วยสูตรการฉีด เข็มที่ 1 และเข็มที่ 2 ดังนี้ "
5,
6,จังหวัดศรีสะเกษ จัด Walk-In รับวัคซีนโควิด-19 และไข้หวัดใหญ่ 4 สายพันธุ์ อำนวยความสะดวก เที่ยวงานเทศกาลปีใหม่สี่เผ่าไทย 2565 ปลอดภัยจากโควิด-19 สำหรับประชาชนที่ยังไม่ได้รับวัคซีนป้องกันโควิด-19 ครบ 2 เข็ม และผู้ที่ต้องการฉีดเข็มกระตุ้น ใช้เพียงบัตรประชาชน ก็สามารถ Walk-In รับวัคซีนป้องกันโควิด-19 ตามสถานที่ต่างๆ ที่สะดวก ดังนี้
7,
8,(4 ม.ค.65) นพ.เพชรฤกษ์ แทนสวัสดิ์ นายแพทย์สาธารณสุขจังหวัดเพชรบุรี กล่าวว่า ในช่วงสัปดาห์ที่ผ่านมาจังหวัดเพชรบุรี มีผู้ติดเชื้อโควิด -19 ทรงตัว เฉลี่ยประมาณวันละ 8-9 คน จังหวัดเพชรบุรีมีมาตรการเข้มข้นในการป้องกันการแพร่ระบาดโควิด -19 มีเคสโอมิครอนที่เป็นกลุ่มเสี่ยงประปรายในพื้นที่อำเภอชะอำ จากการตรวจหาเชื้อแล้วพบเป็นเชื้อเดลต้าธรรมดา สถานการณ์การแพร่ระบาดโควิด -19 จังหวัดเพชรบุรี ตั้งแต่ช่วงสิ้นปี ถึงเทศกาลปีใหม่ 2565 เชื้อโอมิครอนในพื้นที่จังหวัดเพชรบุรีถึงวันนี้ (4 ม.ค. 65) ไม่มีผู้ติดเชื้อ สำหรับผู้ที่เดินทางมาในพื้นที่จังหวัดเพชรบุรี อยู่กับญาติพี่น้อง มาท่องเที่ยว เน้นย้ำ เมื่อกลับไปแล้วขอให้ตรวจ ATK ก่อนเข้าที่ทำงาน เพื่อควบคุมการป้องกันการแพร่ระบาดโควิด -19 
9,วันนี้ (4 ม.ค.65) เป็นวันแรกของปี 2565 ที่ศูนย์ฉีดวัคซีน covid อำเภอเมือง จังหวัดแม่ฮ่องสอน ซึ่งมีจุดบริการ ณ โรงพยาบาลศรีสังวาลย์ เปิดให้บริการฉีดวัคซีนป้องกัน COVID-19 แบบ Walk-In
