,news_text
0,     ประชากรวัยผู้ใหญ่ร้อยละ 72 ในไอร์แลนด์ได้รับการฉีดวัคซีนโควิด-19ครบโดสแล้ว                 ขณะที่เมื่อวานนี้ไอร์แลนด์ได้เปิดคลินิกให้บริการฉีดวัคซีนแบบวอล์กอินทั่วประเทศ  ผู้มีอายุ 16 ปีขึ้นไปสามารถเข้ารับการฉีดวัคซีนของไฟเซอร์/ไบโอเอ็นเทคโดสแรกได้ โดยไม่ต้องทำการนัดหมายล่วงหน้า นายกรัฐมนตรีมิเชล มาร์ติน ของไอร์แลนด์ ได้ทวีตข้อความว่า ไอร์แลนด์กำลังเดินหน้าฉีดวัคซีนโควิด-19อย่างรวดเร็ว และเวลานี้ได้แซงหน้าประเทศเพื่อนบ้านใกล้เคียงแล้ว นับเป็นความพยายามที่ยอดเยี่ยมของทุกฝ่ายที่เกี่ยวข้อง.
1,"กระทรวงการต่างประเทศ ชี้แจงถึงการจัดฉีดวัคซีนให้กับกลุ่มชาวต่างชาติในประเทศไทย ตามนโยบายรัฐบาล ว่า ตามที่ ศบค. เห็นชอบให้จัดสรรวัคซีนไฟเซอร์ที่ได้รับบริจาคจากรัฐบาลสหรัฐฯ จำนวน 150,000 โดส ไปกระจายฉีดให้กับชาวต่างชาติที่พำนักในประเทศไทย นั้นตั้งแต่วันนี้ (1 ส.ค. 64) "
2, 
3,"แพทย์หญิงอภิสมัย ศรีรังสรรค์ ผู้ช่วยโฆษกศูนย์บริหารสถานการณ์โควิด-19 แถลงสถานการณ์ประจำวันว่า วันนี้มียอดผู้ติดเชื้อรายใหม่เพิ่ม 18,027 คน ผู้เสียชีวิต 133 คน ทำให้มียอดผู้เสียชีวิตสะสมตั้งแต่ปี 2563 อยู่ที่ 4,990 คน ผู้ป่วยหายกลับบ้านวันนี้ 13,402 คน ผู้ป่วยยังรักษาตัวอยู่ 205,002 คน ในจำนวนนี้อยู่ในโรงพยาบาล 74,102 คน พบว่าอาการหนัก 4,765 ราย ใช้เครื่องช่วยหายใจ 1,044 คน "
4,นายอนุชา บูรพชัยศรี โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยว่า พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม เป็นประธานการประชุมคณะกรรมการบริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด - 19) ครั้งที่ 11/2564 ผ่านระบบการประชุมทางไกล (Video Conference) เพิ่มพื้นที่สีแดงเข้มเป็น 29 จังหวัด ขยายระยะเวลาการใช้มาตรการตามข้อกำหนดฉบับ 28 งดออกนอกเคหะสถานหลัง 21.00 น.- 04.00 น. เริ่ม 3 สิงหาคมนี้
5,           ร่างเอกสารที่ส่งถึงสำนักข่าวเอเอฟพีวานนี้ระบุว่า เยอรมนีมีแผนจะเริ่มฉีดวัคซีนโควิด-19 เข็ม 3 หรือบูสเตอร์ ให้ผู้สูงอายุและประชาชนกลุ่มเสี่ยงตั้งแต่วันที่ 1 กันยายนนี้เป็นต้นไป ขณะที่หลายฝ่ายกังวลเกี่ยวกับการแพร่ระบาดเป็นวงกว้างของเชื้อโรคโควิด-19 กลายพันธุ์ สายพันธุ์เดลตา
6,"           อิสราเอลเริ่มฉีดวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทคเข็มสาม เพื่อกระตุ้นภูมิคุ้มกันให้กลุ่มประชาชนอายุ 60 ปีขึ้นไปที่ได้รับวัคซีนโดสสองมาแล้วอย่างน้อย 5 เดือน โดยเจ้าหน้าที่เปิดเผยว่าในวันแรกของการเปิดฉีดวัคซีนกระตุ้นภูมิเข็มสามเมื่อวานนี้ มีผู้เข้ารับการฉีดเกือบ 38,000 คน และอีก 219,000 คนได้ทำการนัดหมายเพื่อเข้ารับการฉีดใน 2-3 วันข้างหน้า"
7,พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม เป็นประธานในพิธีรับมอบวัคซีนป้องกันเชื้อไวรัสโคโรนา 2019 จากรัฐบาลสหรัฐอเมริกา โดยมีนายไมเคิล ฮีธ (Mr. Michael Heath) อุปทูตรักษาการแทนเอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทย เป็นผู้แทนรัฐบาลสหรัฐอเมริกา โดยนายกรัฐมนตรี กล่าวขอบคุณรัฐบาลสหรัฐฯ ที่ได้สนับสนุนวัคซีนป้องกันเชื้อไวรัสโคโรนา 2019 ในครั้งนี้ สะท้อนให้เห็นถึงความเป็นมิตรแท้และความสัมพันธ์อันแน่นแฟ้นของทั้งสองประเทศที่มีมายาวนานกว่า 188 ปี รวมถึงความมุ่งมั่นของรัฐบาลไทย-สหรัฐฯ ที่ต้องการจะแก้ไขสถานการณ์ของโรคโควิด-19 ร่วมกัน ซึ่งการฉีดวัคซีนถือเป็นประโยชน์สำหรับไทยที่มีความต้องการใช้วัคซีนเพื่อควบคุมสถานการณ์การแพร่ระบาดของโรคโควิด-19 ในปัจจุบัน พร้อมขอขอบคุณนางแทมมี่ ดักเวิร์ธ วุฒิสมาชิกสหรัฐอเมริกา ตลอดจนหน่วยงานที่เกี่ยวข้องทั้งหมดที่ได้ผลักดันและสนับสนุนให้ไทยได้รับวัคซีนเพิ่มเติมอีกจำนวน 1 ล้านโดส โอกาสนี้ นายกรัฐมนตรียังขอบคุณรัฐบาลสหรัฐฯ ที่ดูแลคนไทยและผู้ประกอบการไทยที่ดำเนินธุรกิจในสหรัฐฯ เป็นอย่างดี พร้อมยืนยันว่า รัฐบาลจะนำวัคซีนทั้งหมดไปบริหารจัดการอย่างเหมาะสมเพื่อให้เกิดประโยชน์สูงสุดกับประชาชนคนไทยต่อไป
8,"              อิสราเอลเริ่มฉีดวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทคเข็มสาม เพื่อกระตุ้นภูมิคุ้มกันให้กลุ่มประชาชนอายุ 60 ปีขึ้นไปที่ได้รับวัคซีนโดสสองมาแล้วอย่างน้อย 5 เดือน โดยเจ้าหน้าที่เปิดเผยว่าในวันแรกของการเปิดฉีดวัคซีนกระตุ้นภูมิเข็มสามเมื่อวานนี้ มีผู้เข้ารับการฉีดเกือบ 38,000 คน และอีก 219,000 คนได้ทำการนัดหมายเพื่อเข้ารับการฉีดใน2-3วันข้างหน้า        นายกรัฐมนตรีนัฟตาลี เบนเนตต์ ของอิสราเอล เรียกร้องให้ประชาชนกลุ่มอายุดังกล่าวที่ได้รับสิทธิฉีดวัคซีนเข็มกระตุ้น เข้ารับการฉีดวัคซีนทันที พร้อมกล่าวว่า รัฐบาลตั้งเป้าจะฉีดวัคซีนเข็มสามให้ผู้มีอายุ 60 ปีขึ้นไปให้ได้ทั้งหมดภายในสิ้นเดือนนี้       ทั้งนี้อิสราเอลเริ่มรณรงค์ฉีดวัคซีนโควิด-19 เข็มสาม หรือบูสเตอร์ แม้ว่าในสหรัฐและสหภาพยุโรปยังไม่ได้อนุมัติฉีดก็ตาม.                                                                            "
9,"นพ.โอภาส การย์กวินพงศ์ อธิบดีกรมควบคุมโรค กระทรวงสาธารณสุข แถลงข่าวผ่านออนไลน์ตอบข้อสงสัยการจัดสรรวัคซีนไฟเซอร์ ล็อตสนับสนุนจากอเมริกา บริจาค 1.5 ล้านโดส กรณีตัวเลขจำนวนไม่ตรง โยงว่ามี VIP ได้รับการฉีดวัคซีนล็อตนี้ไปก่อนว่า วัคซีนล็อตนี้ทางสถานฑูตอเมริกาแจ้งอย่างเป็นทางการว่ามีจำนวนทั้งสิ้น 1,503,450 โดส พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม และนายอนุทิน ชาญวีรกูล รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข พึ่งรับมอบอย่างเป็นทางการวันนี้ที่ทำเนียบรัฐบาล แต่ตัววัคซีนทั้งหมดยังคงเก็บอยู่ในคลังระหว่างรอกระบวนการตรวจสอบยังไม่ได้จ่ายออกไปเพราะต้องมีระบบควบคุมอุณหภูมิกระแสข่าวที่ว่ามีกลุ่มบุคคลได้รับวัคซีนไฟเซอร์ยืนยันไม่ใช่วัคซีนของกระทรวงสาธารณสุขที่มีการจัดสรรในรอบนี้ "
