,news_text
0,"    นายไครี จามาลุดดิน รัฐมนตรีวิทยาศาสตร์ เทคโนโลยี และนวัตกรรมของมาเลเซีย เปิดเผยว่า วัคซีนป้องกันโรคโควิด-19 ของแอสตราเซเนกา ชุดแรก จำนวน 600,000 โดส จะจัดส่งถึงมาเลเซีย ในเดือนมิถุนายนนี้ โดยมาเลเซียสั่งจองวัคซีนของแอสตราเซเนกา ทั้งสิ้น 12,800,000 โดส ในจำนวนนี้กว่าครึ่ง เป็นวัคซีนที่ได้รับผ่านโครงการโคแวกซ์ขององค์การอนามัยโลก "
1, นายธานี แสงรัตน์ อธิบดีกรมสารนิเทศ และโฆษกระทรวงการต่างประเทศ เน้นย้ำว่า วันนี้ (1 เม.ย. 64) ศบค. เริ่มมาตรการกักกันตัวรูปแบบใหม่ โดยผู้ที่เดินทางกลับจากประเทศที่ไม่มีเชื้อกลายพันธุ์ และมีเอกสารรับรองการฉีดวัคซีนครบถ้วน อาจพิจารณาให้กักกันตัวไม่น้อยกว่า 7 วันโดยต้องฉีดวัคซีนที่ได้รับการรับรองจาก WHO หรือ อย. และฉีดวัคซีนครบถ้วนแล้วไม่น้อยกว่า 14 วันก่อนเดินทาง ส่วนผู้ที่เดินทางกลับจากประเทศที่ไม่มีเชื้อกลายพันธุ์ แต่ไม่มีเอกสารรับรองการฉีดวัคซีน ต้องเข้ารับการกักกันตัวไม่น้อยกว่า 10 วัน และผู้เดินทางกลับจากประเทศที่มีเชื้อกลายพันธุ์ 11 ประเทศ ได้แก่ แอฟริกาใต้ ซิมบับเว โมซัมบิก บอตสวานา แซมเบียเคนยา รวันดา แคมารูน คองโก กานา และแทนซาเนีย ต้องเข้ารับการกักตัวไม่น้อยกว่า 14 วันซึ่งประเทศเหล่านี้ สามารถเปลี่ยนแปลงได้ โดย กรมควบคุมโรค จะมีการทบทวนรายชื่อประเทศกลุ่มเสี่ยงทุกเดือน
2,"           วัคซีนป้องกันโรคโควิด-19 ของซิโนฟาร์มชุดใหม่ถูกส่งถึงกัมพูชาด้วยเที่ยวบินพิเศษเมื่อค่ำวานนี้ ซึ่งเป็นวัคซีนชุดที่สองที่จีนบริจาคให้กัมพูชา หลังวัคซีนชุดแรกถูกส่งถึงกัมพูชาเมื่อวันที่ 7 กุมภาพันธ์ที่ผ่านมา โดยวัคซีนชุดใหม่จะทำให้ชาวกัมพูชาสามารถเข้ารับการฉีดวัคซีนป้องกัน                โรคโควิด-19ได้มากขึ้น ทั้งนี้กัมพูชาเริ่มโครงการฉีดวัคซีนดังกล่าวมาตั้งแต่วันที่ 10 กุมภาพันธ์ และนับถึงวานนี้มีประชาชนในกลุ่มเสี่ยงกว่า 407,000 คนได้รับการฉีดวัคซีนแล้ว"
3,
4,           ฮ่องกงจะกลับมาฉีดวัคซีนป้องกันโรคโควิด-19 ของบริษัทไฟเซอร์-ไบโอเอ็นเทค อีกครั้งวันจันทร์หน้า หลังบริษัทผู้ผลิตยายักษ์ใหญ่ดังกล่าว กล่าวว่า เกิดข้อตำหนิเกี่ยวกับบรรจุภัณฑ์ ซึ่งทำให้ต้องระงับการใช้วัคซีนดังกล่าวชั่วคราว แต่บริษัทฯ ยืนยันว่าไม่ส่งผลกระทบต่อความปลอดภัย
5,           สมเด็จพระราชาธิบดีสุลต่านฮัสซานัล โบลเกียห์ แห่งบรูไนทรงรับการฉีดวัคซีนป้องกันโรคโควิด-19 แล้ว ในขณะที่ประเทศกำลังเตรียมเริ่มโครงการฉีดวัคซีนดังกล่าวในวันพรุ่งนี้
6,           วัคซีนต้านโควิด-19 ของไฟเซอร์/ไบโอเอ็นเท็ค สามารถคงประสิทธิภาพการป้องกันในระดับสูงเป็นเวลาอย่างน้อย 6 เดือนหลังการฉีดครบสองโดส
7,"           สำนักงานควบคุมและป้องกันโรคของเกาหลีใต้หรือ เคดีซีเอ รายงานพบผู้ติดเชื้อโรคโควิด-19 รายใหม่ 543 คน นับเป็นวันที่ 4 ติดต่อกัน ที่มียอดผู้ติดเชื้อรายวันมากกว่า 500 คน ส่วนใหญ่ เป็นการติดเชื้อแบบกลุ่มย่อยในพื้นที่กรุงโซลและจังหวัดคยองกี ส่งผลให้เกาหลีใต้มียอดผู้ติดเชื้อสะสมมากกว่า 104,700 คน และมียอดผู้เสียชีวิต 1,740 คน"
8,    สำนักข่าวต่างประเทศ รายงานว่า นายกรัฐมนตรีโยชิฮิเดะ ซูงะ ของญี่ปุ่น วัย 72 ปี เข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สอง แล้วในวันนี้ เพื่อเตรียมพร้อมสำหรับการเดินทางเยือนสหรัฐฯ อย่างเป็นทางการในสัปดาห์หน้า โดยสำนักนายกรัฐมนตรีญี่ปุ่น เปิดเผยว่า นายกรัฐมนตรีซูงะ มีสุขภาพดีหลังเข้ารับการฉีดวัคซีนดังกล่าว ขณะที่ เจ้าหน้าที่และสื่อมวลชนที่ร่วมคณะเดินทางเยือนสหรัฐฯ ในครั้งนี้ จะเข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19 ก่อนออกเดินทาง ด้วยเช่นกัน
9,           ญี่ปุ่นเริ่มฉีดวัคซีนป้องกันโรคโควิด-19 ให้ผู้สูงอายุแล้ววันนี้ ขณะที่วัคซีนที่นำเข้ามีจำนวนไม่มากนัก และมีแนวโน้มว่าจะไม่สามารถหยุดยั้งการระบาดระลอก 4 ได้ ซึ่งจำนวนผู้ติดเชื้อพุ่งสูงขึ้นเรื่อยๆ
