,news_text
0,ประชาชน ลงทะเบียน Booster Dose เข็ม 3 คึกคัก ด้าน รพ. ยะลา เร่ง เก็บตกนักเรียน ฉีดไฟเซอร์เข็ม 2 ครบโดส  ล่าสุด ฉีดแล้วสะสม  57.20 %
1,            บรรยากาศช่วงเช้าวันนี้ (1 พ.ย. 64) ซึ่งวันการเปิดภาคเรียนที่ 2 /2564 โรงเรียนในพื้นที่จังหวัดน่าน เป็นไปอย่างคึกคัก โดยเฉพาะนักเรียนต่างรู้สึกดีใจที่ได้กลับมาเรียนตามปกติแบบ ON SITE อีกครั้ง ที่ผ่านมาโรงเรียนในพื้นที่จังหวัดน่านส่วนใหญ่มีการปรับรูปแบบการเรียนการสอนแบบ ON SITE และ ON LINE ควบคู่กันไปภายใต้มาตรการการป้องกันโรคโควิด-19 โดยความร่วมมือของสถานศึกษา ครู นักเรียน และผู้ปกครอง    
3,            ผู้ว่าราชการจังหวัดปทุมธานี ประกาศความพร้อมเปิดจังหวัดปทุมธานี ต้อนรับการท่องเที่ยว เดินหน้าลุย เพื่อฟื้นเศรษฐกิจจังหวัดปทุมธานี ไปพร้อมกับควบคุมโควิด-19 อย่างมีประสิทธิภาพ ย้ำต้องการเห็นภาพประชาชนมีความสุข บนความปลอดภัย
4,ประมวลข่าวทั่วไทยประจำวันที่ 1 พฤศจิกายน 2564
5,สำนักงานประชาสัมพันธ์จังหวัดแพร่รายงานว่า วันนี้ (1 พ.ย.64) เวลา 13.30 น  ที่ห้องประชุมจดหมายเหตุ ศาลากลางจังหวัดแพร่ นายสมหวัง พ่วงบางโพ ผู้ว่าราชการจังหวัดแพร่ เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดแพร่ ครั้งที่ 34 ประจำปี 2564 และคณะกรรมการดำเนินการป้องกันหรือยังยั้งภัยพิบัติกรณีฉุกเฉินจังหวัดแพร่ เพื่อรับทราบสถานการณ์การแพร่ระบาดของโรคโควิด-19 การประเมินตนเองของจังหวัดแพร่เพื่อเตรียมความพร้อมการดำเนินงานในพื้นที่ที่กำหนดให้เป็นจังหวัดนำร่องด้านการท่องเที่ยว และผลการดำเนินงานการบริการฉีดวัคซีนของจังหวัดแพร่
6,        หลังจากจังหวัดสตูลเปิดพื้นที่นำร่องเที่ยวเกาะหลีเป๊ะและแหล่งท่องเที่ยวทางทะเลอื่นๆ และแหล่งท่องเที่ยวชุมชนบ้านวังสายทอง มาตั้งแต่วันที่ 15 ต.ค.64 ซึ่งผ่านมา 15 วัน และเป็นการรองรับการเปิดประเทศของรัฐบาล โดยในวันนี้ (1 พ.ย.64) จังหวัดสตูล โดยสำนักงานท่องเที่ยวและกีฬาจังหวัดสตูล ได้จัดการประชุมคณะทำงานติดตามและควบคุมการปฏิบัติตามมาตรฐานแนวทางปฏิบัติในการเปิดรับนักท่องเที่ยว (Standard Operation Procedure : SOP) โดยมีนายทศพล สวัสดิสุข ปลัดจังหวัดสตูล เป็นประธานการประชุม พร้อมด้วยหัวหน้าส่วนราชการ และคณะทำงาน เข้าร่วมประชุมอย่างพร้อมเพรียง ณ ห้องประชุม ชั้น 2 ท่าเทียบเรือปากบารา อำเภอละงู จังหวัดสตูล เพื่อติดตามและควบคุมการปฏิบัติตามมาตรฐาน SOP เป็นไปด้วยความเรียบร้อย
7,            จังหวัดศรีสะเกษ โดย อำเภอกันทรารมย์ จังหวัดศรีสะเกษ เร่งฉีดวัคซีนให้กับนักเรียน - นักศึกษา ก่อนเปิดเรียน 1 พ.ย. ขณะที่นายอำเภอเตือนทุกฝ่ายเฝ้าระวัง คลัสเตอร์ใหม่ในการจัดการการเลือกตั้ง องค์กรปกครองส่วนท้องถิ่น สิ้นเดือนนี้ ต้องระวัง
8,            จังหวัดสตูล ประชุมคณะทำงานติดตามและควบคุมการปฏิบัติตามมาตรฐานแนวทางปฏิบัติในการเปิดรับนักท่องเที่ยว (SOP) หลังจากเปิดพื้นที่นำร่องเที่ยวเกาะหลีเป๊ะและแหล่งท่องเที่ยวชุมชนบ้านวังสายทอง ผ่านมา 15 วัน หลังจากจังหวัดสตูลเปิดพื้นที่นำร่องเที่ยวเกาะหลีเป๊ะและแหล่งท่องเที่ยวทางทะเลอื่น ๆ และแหล่งท่องเที่ยวชุมชนบ้านวังสายทอง มาตั้งแต่วันที่ 15 ต.ค. 64 ซึ่งผ่านมา 15 วัน และเป็นการรองรับการเปิดประเทศของรัฐบาล โดยในวันนี้ (1 พ.ย. 64) จังหวัดสตูล โดยสำนักงานท่องเที่ยวและกีฬาจังหวัดสตูล ได้จัดการประชุมคณะทำงานติดตามและควบคุมการปฏิบัติตามมาตรฐานแนวทางปฏิบัติในการเปิดรับนักท่องเที่ยว (Standard Operation Procedure : SOP) โดยมี นายทศพล สวัสดิสุข ปลัดจังหวัดสตูล เป็นประธานการประชุม พร้อมด้วยหัวหน้าส่วนราชการ และคณะทำงาน เข้าร่วมประชุมอย่างพร้อมเพรียง ณ ห้องประชุม ชั้น 2 ท่าเทียบเรือปากบารา อำเภอละงู จังหวัดสตูล เพื่อติดตามและควบคุมการปฏิบัติตามมาตรฐาน SOP เป็นไปด้วยความเรียบร้อย 
10, ยะลา เริ่มทยอยฉีด เข็ม 3 ไฟเซอร์ บูสเตอร์โดส กระตุ้นภูมิให้ประชาชนที่รับซิโนแวค 2 เข็ม ชาวบ้านดีใจหลังรอนานาน
11,"            วันที่ 2 พ.ย.64 ณ ปั้มน้ำมัน ปตท.ปาลัส ฝั่ง อำเภอมายอ สสจ.ปัตตานี ,สสอ.มายอ, รพ.มายอ, รพ.สต.ลางา ,ศูนย์ประสานการแพทย์(ทหาร บก) จชต.ระดมเจ้าหน้าที่ ฉีดวัคซีนไฟเซอร์ เข็มแรกให้กับประชาชนจังหวัดปัตตานี โดยวันนี้ได้เคลื่อนที่ไปยัง อ.มายอ จ.ปัตตานี เพื่ออำนวยความสะดวกพี่น้องประชาชนในเขตอำเภอรอบนอก ไม่ต้องเข้าไปรับวัคซีนในตัวจังหวัด"
