,news_text
0,"    สื่ออิสราเอล รายงานว่า กระทรวงสาธารณสุขอิสราเอล เตรียมทำลายวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค อย่างน้อย 800,000 โดส ที่จะหมดอายุ ในช่วงปลายเดือนกรกฎาคมนี้ หากไม่สามารถหาผู้ซื้อได้ในอีก 2 สัปดาห์ข้างหน้า"
1,            จังหวัดลำปางมีหนังสือด่วนที่สุด ลงวันที่ 30 มิถุนายน 2564 ส่งถึงหน่วยงานราชการ องค์กรปกครองส่วนท้องถิ่น และภาคเอกชน เรื่อง ขอความร่วมมือในการควบคุมการเดินทางของบุคคลเข้ามายังพื้นที่จังหวัดลำปาง เพื่อควบคุมสถานการณ์โรคโควิด 19 ของจังหวัด ให้อยู่ในสถานการณ์ที่จำกัด โดยระบุว่า ด้วยสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 ในพื้นที่จังหวัดลำปาง ในช่วง 4 วันที่ผ่านมา จังหวัดลำปางพบผู้ติดเชื้อรายใหม่จำนวน 4 ราย ซึ่งเป็นผู้ที่เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวด และจากไทม์ไลน์ของผู้ติดเชื้อโควิด 19 ปรากฏว่าเมื่อเดินทางเข้ามาในพื้นที่จังหวัดลำปางแล้วไม่ได้ดำเนินการตามมาตรการควบคุมโรคจังหวัดลำปางได้กำหนดไว้คณะกรรมการโรคติดต่อจังหวัดลำปางได้มีมติในคราวการประชุม ครั้งที่ 28/2564 เมื่อวันที่ 29 มิถุนายน 2564 ทบทวนมาตรการควบคุมการเดินทางของบุคคลที่เข้ามายังพื้นที่จังหวัดลำปาง เพื่อให้สอดคล้องกับสถานการณ์ปัจจุบัน จังหวัดลำปางจึงขอเน้นย้ำให้ทุกภาคส่วนดำเนินการตามมาตรการที่จังหวัดลำปางกำหนด ดังนี้ 
2,           วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
3,           บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิด                เอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิด              เดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ 
4,"โปรยหัว:        ทั่วโลกตระหนักถึงความร้ายกาจของโรคโควิด-19 และทราบดีว่าวัคซีนเป็นหนทางเดียวที่จะเอาชนะการระบาดใหญ่ครั้งนี้ได้ แต่ขณะที่หลายชาติเดินหน้าฉีดวัคซีนอย่างเต็มที่ ประชาชนในบางประเทศกลับยังเฝ้ารอวัคซีนเข็มแรกของพวกเขาอยู่  ซึ่งเป็นความเหลื่อมล้ำที่เห็นได้ชัดในเวลานี้...ติดตามเรื่องนี้จากรายงานพิเศษ..//  ผู้รายงาน:      การระบาดใหญ่ของโรคโควิด-19จะสิ้นสุดลงได้ก็ต่อเมื่อประชากรส่วนใหญ่ในโลกมีภูมิคุ้มกันต่อไวรัสร้ายที่ก่อโรคนี้ ซึ่งเป้าหมายดังกล่าวจะบรรลุผลได้ด้วยการฉีดวัคซีน        เหมือนเช่นเมื่อครั้งเกิดโรคระบาดที่ผ่านมา ด้วยเหตุนี้แต่ละประเทศจึงเดินหน้าฉีดวัคซีนอย่างเต็มที่ ทำให้จนถึงขณะนี้ทั่วโลกมีการฉีดวัคซีนโควิด-19 แล้วกว่า 3,000 ล้านโดส                       อย่างไรก็ตามเนื่องจากครั้งนี้เป็นการระบาดใหญ่ วัคซีนเป็นที่ต้องการปริมาณมาก และการที่ชาติร่ำรวยพากันกักตุนวัคซีนก็ทำให้บางประเทศยังไม่สามารถขับเคลื่อนโครงการฉีดวัคซีนได้ รวมถึง 5 ชาติสมาชิกองค์การอนามัยโลกอย่างบุรุนดี แทนซาเนีย เฮติ เกาหลีเหนือและเอริเทรีย ที่ยังไม่ได้ฉีดวัคซีนแม้เพียงโดสเดียว เป็นความเหลื่อมล้ำที่เห็นได้อย่างชัดเจน                     "
5,           วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
6,           บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิดเอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิดเดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ 
7,"        กระทรวงสาธารณสุข ใช้แนวทาง 4 D (Diet, Development & play, Dental และ Diseases) ยกระดับสถานพัฒนาเด็กปฐมวัย ส่งเสริมพัฒนาการด้านอาหาร การเล่น สุขภาพฟัน และการป้องกันโรค พร้อมย้ำให้ สถานพัฒนาเด็กปฐมวัยเข้มงวดมาตรการของกระทรวงสาธารณสุขอย่างเคร่งครัดป้องกันโควิด-19"
8,           สำนักข่าวเอเอฟพี รายงานโดยอ้างแถลงการณ์ของ ดร.มาร์โค คาวาเลอรี หัวหน้าฝ่ายยุทธศาสตร์ด้านวัคซีนขององค์การยาแห่งสหภาพยุโรป หรือ อีเอ็มเอ ที่ระบุว่า วัคซีนโควิด-19 ได้รับการอนุมัติให้ใช้ในสหภาพยุโรป ทั้ง 4 ชนิด ประกอบด้วยวัคซีนของไฟเซอร์-ไบโอเอ็นเทค โมเดอร์นา แอสตราเซเนกา และจอห์นสันแอนด์จอห์นสัน มีประสิทธิภาพในการต้านเชื้อโควิด-19 ทุกสายพันธุ์ รวมถึงสายพันธุ์เดลตา ที่แพร่ระบาดอย่างรวดเร็ว
10, 
