,news_text
0,ศูนย์ต่อต้านข่าวปลอม เผยแพร่ข้อมูลกรณีมีการส่งต่อข้อมูลผ่านโซเชียลมีเดียเกี่ยวกับประเด็นเรื่องนักวิทยาศาสตร์ของ Pfizer ได้ออกมาเตือนผู้ที่ฉีดวัคซีนโควิด-19 แล้วจะทำให้มีชีวิตอยู่ได้ไม่นานและเสียชีวิตได้ ศูนย์ต่อต้านข่าวปลอมจึงตรวจสอบข้อเท็จจริงจากสำนักงานปลัดกระทรวงสาธารณสุข กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวเป็นข้อมูลเท็จ
1,           นายอัลเบิร์ต บอร์ลา ผู้บริหารระดับสูงบริษัทไฟเซอร์ กล่าวทางสื่อสังคมออนไลน์วันนี้ว่า บริษัทไฟเซอร์อยู่ระหว่างหารือกับรัฐบาลอินเดีย เพื่อเร่งให้มีการอนุมัติวัคซีนโควิด-19 ของบริษัทฯ โดยเร็ว พร้อมประกาศบริจาคยามูลค่ากว่า 70 ล้านดอลลาร์สหรัฐให้อินเดียด้วย
2,
3,
4,           เดนมาร์กจะห้ามใช้วัคซีนโควิด-19ของจอห์นสันแอนด์จอห์นสัน เนื่องจากกังวลเกี่ยวกับผลข้างเคียงที่อาจทำให้เกิดภาวะลิ่มเลือดอุดตัน
5,
6,
7,ผู้ประกาศ : บางประเทศเริ่มฉีดวัควีนโควิด-19 ให้เด็กแล้ว และบางประเทศก็เริ่มทดลองการใช้วัคซีนโควิด-19 ในเด็ก นับเป็นอีกหนึ่งความพยายามยุติการระบาดของไวรัสมรณะนี้ รายละเอียดจะเป็นอย่างไร ติดตามจากรายงานพิเศษ
8,    อังกฤษจะให้ประชาชนที่มีอายุ 50 ปีขึ้นไปได้รับสิทธิฉีดวัคซีนโควิด-19 โดสสามในช่วงฤดู                 ใบไม้ร่วงนี้หรือในราวเดือนกันยายน โดยวัคซีนโดสสามจะเป็นวัคซีน 3 ขนานที่อังกฤษใช้กันอยู่ขณะนี้ซึ่งได้แก่ไฟเซอร์/ไบออนเทค ออกซ์ฟอร์ด/แอสตราเซเนกา และโมเดอร์นา ขณะที่ข้อมูลของรัฐบาลอังกฤษระบุว่า ได้มีการฉีดวัคซีนโควิด-19 โดสแรกให้แก่ประชาชนแล้วกว่า 34.6 ล้านคนจากประชากรทั้งหมดราว 67 ล้านคน ทั้งนี้ อังกฤษได้สั่งซื้อวัคซีน 8 ขนาน จำนวนรวมกว่า 510 ล้านโดส โดยที่วัคซีนบางขนานยังอยู่ในขั้นตอนพัฒนา.
9,นายแพทย์ไพศาล ดั่นคุ้ม เลขาธิการคณะกรรมการอาหารและยา เปิดเผยว่า กระบวนการนำเข้าวัคซีนโควิด -19 ต้องเป็นผู้ที่รับอนุญาตนำเข้าและมีทะเบียน รวมทั้งต้องผ่านด่านอาหารและยาเพื่อนำเข้าอย่างถูกต้อง ซึ่งขณะนี้วัคซีนโควิด-19 ที่ได้รับการขึ้นทะเบียนขณะนี้มี 3 ราย ได้แก่ วัคซีนแอสตร้าเซนเนก้า โดยบริษัท แอสตร้าเซนเนก้า (ประเทศไทย) จำกัด และที่ผลิตในประเทศโดย บริษัท สยามไบโอไซเอนซ์ จำกัด วัคซีนโคโรนาแวค ของบริษัท ซิโนแวค นำเข้า โดยองค์การเภสัชกรรม และวัคซีนจอห์นสันแอนด์จอห์นสัน โดยบริษัท แจนเซ่น- ซีแลค จำกัด สำหรับวัคซีนโมเดิร์นนา โดยบริษัท ซิลลิค ฟาร์มา จำกัด อยู่ระหว่างประเมินคำขอขึ้นทะเบียน และยังมีอีก 2 ราย อยู่ระหว่างทยอยยื่นเอกสารคำขอขึ้นทะเบียนต่อเนื่อง ได้แก่ วัคซีนโควัคซีน โดยบริษัท ไบโอจีนีเทค จำกัด และวัคซีนสปุตนิค วี โดยบริษัท คินเจน ไบโอเทค จำกัด ส่วนวัคซีนไฟเซอร์ยังไม่ได้มายื่นเอกสารขึ้นทะเบียนกับ อย. 
